1,49,76,83,20,97,false
2,22,39,24,6,100,true
3,53,5,20,59,63,false
4,53,4,91,57,81,false
5,63,49,21,37,65,false
6,25,51,89,36,88,true
7,26,94,73,34,95,false
8,95,24,49,41,35,false
9,45,37,76,20,9,false
10,23,87,81,25,41,false
11,71,16,41,33,45,true
12,95,8,23,62,86,true
13,95,90,28,62,54,true
14,74,24,34,82,77,true
15,92,49,98,31,28,false
16,48,60,82,66,63,true
17,22,60,74,82,56,false
18,20,57,94,62,50,false
19,24,93,21,96,12,false
20,85,29,58,11,88,false
21,48,11,70,12,100,true
22,15,5,29,17,13,true
23,50,43,14,83,56,false
24,24,62,59,12,2,true
25,97,36,12,67,83,false
26,34,78,79,97,93,false
27,16,81,5,29,11,true
28,76,51,80,48,80,true
29,29,27,43,97,16,false
30,41,32,39,33,49,false
31,77,84,7,43,38,true
32,1,12,2,50,21,true
33,2,79,85,78,62,true
34,59,90,20,93,90,false
35,45,55,54,24,57,false
36,86,66,48,91,32,false
37,77,68,67,27,85,true
38,37,25,16,64,64,true
39,72,60,25,100,82,false
40,65,50,12,52,50,true
41,80,58,78,30,50,false
42,60,29,75,100,97,true
43,53,9,13,46,58,false
44,22,97,77,61,30,true
45,60,67,86,84,22,false
