1,20,100,69,41,12,true
2,93,67,21,89,77,true
3,3,40,80,91,87,true
4,28,27,92,74,70,false
5,7,16,30,32,58,false
6,51,14,13,70,69,true
7,48,79,58,45,78,false
8,97,89,68,48,36,false
9,25,54,27,73,24,true
10,63,20,54,32,17,true
11,48,19,25,14,76,false
12,28,3,30,88,28,true
13,97,44,69,15,17,false
14,50,18,77,55,73,true
15,95,69,58,95,43,false
16,69,4,42,8,71,false
17,24,84,27,28,12,true
18,73,53,39,28,7,true
19,88,55,45,2,62,true
20,82,77,89,94,80,true
21,63,12,94,60,3,true
22,82,99,6,56,23,true
23,95,56,58,53,97,false
24,26,55,56,56,87,true
25,7,60,71,39,73,false
26,41,21,29,3,33,true
27,96,17,30,10,18,true
28,1,27,3,58,84,false
29,40,61,97,48,45,true
30,14,62,89,41,73,true
31,13,66,36,71,68,false
32,67,16,1,18,44,true
33,36,9,67,57,97,true
34,50,67,50,48,38,false
35,21,50,36,96,41,true
36,41,28,56,89,95,false
37,53,83,47,28,21,true
38,79,85,16,73,29,true
39,95,28,1,23,89,false
40,83,96,58,25,83,false
41,91,28,30,86,78,true
42,9,40,23,61,29,false
43,81,98,40,53,22,false
44,37,41,33,80,75,false
45,5,90,96,92,81,false
46,85,76,84,11,31,true
47,1,69,35,38,31,true
48,17,40,3,82,31,true
49,88,48,77,54,45,false
50,83,48,1,70,34,true
51,93,10,74,37,12,true
52,96,78,69,15,60,false
53,92,91,9,41,43,true
54,65,7,52,21,73,false
55,100,49,65,65,22,false
56,89,97,82,28,11,false
57,6,23,90,53,76,true
58,70,45,57,14,14,false
59,34,37,47,35,47,false
60,68,22,74,90,87,false
